codigofuente-auth-1  | [Mon Apr 03 19:44:21.300715 2023] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.10 (Debian) PHP/7.0.27 configured -- resuming normal operations
codigofuente-auth-1  | [Mon Apr 03 19:44:21.300739 2023] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
codigofuente-auth-1  | 172.22.0.22 - - [03/Apr/2023:19:44:27 +0000] "POST /auth/v1/hierarchy HTTP/1.1" 201 290 "-" "-"
codigofuente-auth-1  | 172.22.0.22 - - [03/Apr/2023:19:44:27 +0000] "POST /auth/v1/users/create HTTP/1.1" 201 209 "-" "-"
codigofuente-auth-1  | 172.22.0.22 - - [03/Apr/2023:19:44:27 +0000] "POST /auth/v1/users/login HTTP/1.1" 200 599 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:30 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:31 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:31 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:31 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:31 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:31 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:31 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:31 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:31 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:31 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:31 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:31 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:31 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:31 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:31 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:31 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:31 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.19 - - [03/Apr/2023:19:44:31 +0000] "GET /auth/v1/user/?access_token=8549a1c11faebe02aaf78af98b1f366eb2bdf5997f34ee557e151132bb58cf4b HTTP/1.1" 200 317 "-" "-"
codigofuente-auth-1  | 172.22.0.21 - - [03/Apr/2023:19:44:32 +0000] "GET /auth/v1/users?access_token=7eada11a812eff429cb203bdaa5ac4ac9ff6bc52b7c850a7b0717782ce926530 HTTP/1.1" 406 213 "-" "-"
codigofuente-auth-1  | 172.22.0.21 - - [03/Apr/2023:19:44:32 +0000] "GET /auth/v1/users?access_token=7eada11a812eff429cb203bdaa5ac4ac9ff6bc52b7c850a7b0717782ce926530 HTTP/1.1" 406 213 "-" "-"
codigofuente-auth-1  | 172.22.0.21 - - [03/Apr/2023:19:44:32 +0000] "GET /auth/v1/users?access_token=7eada11a812eff429cb203bdaa5ac4ac9ff6bc52b7c850a7b0717782ce926530 HTTP/1.1" 406 213 "-" "-"
codigofuente-auth-1  | 172.22.0.21 - - [03/Apr/2023:19:44:32 +0000] "GET /auth/v1/users?access_token=7eada11a812eff429cb203bdaa5ac4ac9ff6bc52b7c850a7b0717782ce926530 HTTP/1.1" 406 213 "-" "-"
codigofuente-auth-1  | 172.22.0.21 - - [03/Apr/2023:19:44:32 +0000] "GET /auth/v1/users?access_token=7eada11a812eff429cb203bdaa5ac4ac9ff6bc52b7c850a7b0717782ce926530 HTTP/1.1" 406 213 "-" "-"
codigofuente-auth-1  | 172.22.0.21 - - [03/Apr/2023:19:44:32 +0000] "GET /auth/v1/users?access_token=7eada11a812eff429cb203bdaa5ac4ac9ff6bc52b7c850a7b0717782ce926530 HTTP/1.1" 406 213 "-" "-"
codigofuente-auth-1  | 172.22.0.21 - - [03/Apr/2023:19:44:32 +0000] "GET /auth/v1/users?access_token=7eada11a812eff429cb203bdaa5ac4ac9ff6bc52b7c850a7b0717782ce926530 HTTP/1.1" 406 213 "-" "-"
codigofuente-auth-1  | 172.22.0.21 - - [03/Apr/2023:19:44:32 +0000] "GET /auth/v1/users?access_token=7eada11a812eff429cb203bdaa5ac4ac9ff6bc52b7c850a7b0717782ce926530 HTTP/1.1" 406 213 "-" "-"
