NumeroSegmentos, NombreDelArchivo, Comando, TrSiguienteFiltro, TrActual, TamanioArchivo 
1, 20190618_Introduccion_contenedores_virtuales_Dockerfiles.pdf, ./PL_IDADecode 0 20190618_Introduccion_contenedores_virtuales_Dockerfiles.pdf, 55, 57, 1137487, 
1, 67205315_116657829637509_4708900146451054592_n.jpg, ./PL_IDADecode 262144 67205315_116657829637509_4708900146451054592_n.jpg, 9, 10, 27321, 
1, protocolo.zip, ./PL_IDADecode 524288 protocolo.zip, 95, 100, 2291079, 
1, 2019_tesis_maestria_dante_sanchez_SC.pdf, ./PL_IDADecode 786432 2019_tesis_maestria_dante_sanchez_SC.pdf, 48, 50, 1033127, 
0, cuestionario, ./PL_Integrator cuestionario 0 , 1, 1, 0
1, Curso_Definiciones.pdf, ./PL_IDADecode 1048576 Curso_Definiciones.pdf, 9, 10, 101729, 
1, code.deb, ./PL_IDADecode 1310720 code.deb, 2123, 2248, 54341964, 
1, DNAt-FGCS.pdf, ./PL_IDADecode 1572864 DNAt-FGCS.pdf, 27, 28, 546555, 
1, 2019_presentacion_final_seminario.pdf, ./PL_IDADecode 1835008 2019_presentacion_final_seminario.pdf, 112, 116, 2673639, 
1, agnosticidad.eps, ./PL_IDADecode 2097152 agnosticidad.eps, 33, 34, 526631, 
1, Administracion_Dockerfiles.pdf, ./PL_IDADecode 2359296 Administracion_Dockerfiles.pdf, 11, 11, 140554, 
1, 20190618_Introduccion_contenedores_virtuales.pdf, ./PL_IDADecode 2621440 20190618_Introduccion_contenedores_virtuales.pdf, 76, 80, 1668885, 
1, AlgoritmodePaxos_10_58_54_V2.odp, ./PL_IDADecode 2883584 AlgoritmodePaxos_10_58_54_V2.odp, 12, 13, 117980, 
1, 2019_tesis_maestria_dante_sanchez.pdf, ./PL_IDADecode 3145728 2019_tesis_maestria_dante_sanchez.pdf, 164, 169, 3877868, 
1, 2019_presentacion_protocolo_doctorado_dante.pdf, ./PL_IDADecode 3407872 2019_presentacion_protocolo_doctorado_dante.pdf, 58, 59, 1187588, 
1, 2019_ProtocoloDoctoral_Dante_Sanchez.pdf, ./PL_IDADecode 3670016 2019_ProtocoloDoctoral_Dante_Sanchez.pdf, 63, 67, 1367417, 
1, 2019_presentacion_final_seminario2.pdf, ./PL_IDADecode 3932160 2019_presentacion_final_seminario2.pdf, 107, 110, 2673730, 
1, cinvestav2.jpg, ./PL_IDADecode 4194304 cinvestav2.jpg, 19, 20, 98267, 
1, 20190618_Introduccion_contenedores_virtuales_Dockerfiles.pdf, ./PL_IDADecode 4456448 20190618_Introduccion_contenedores_virtuales_Dockerfiles.pdf, 49, 50, 1137487, 
1, 67205315_116657829637509_4708900146451054592_n.jpg, ./PL_IDADecode 4718592 67205315_116657829637509_4708900146451054592_n.jpg, 8, 11, 27321, 
1, protocolo.zip, ./PL_IDADecode 4980736 protocolo.zip, 105, 108, 2291079, 
1, 2019_tesis_maestria_dante_sanchez_SC.pdf, ./PL_IDADecode 5242880 2019_tesis_maestria_dante_sanchez_SC.pdf, 58, 60, 1033127, 
